gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
ADGRF3	ENSG00000173567	chr2	1.09E+00	1.46E+00	0	0	0									
ADGRF4	ENSG00000153294	chr6	1.33E+00	-1.28E+00	0	0	0									
ADGRF5	ENSG00000069122	chr6	6.87E-01	1.21E+00	0	0.44777	0									
ADGRG1	ENSG00000205336	chr16	9.07E-01	1.11E+00	0	0	0									
ADGRG2	ENSG00000173698	chrX	4.87E-01	2.22E+00	0	0	0									
ADGRG3	ENSG00000182885	chr16	9.38E-01	6.58E-01	0	0	0									
ADGRG4	ENSG00000156920	chrX	1.12E+00	-2.06E+00	0	0	0									
ADGRG5	ENSG00000159618	chr16	9.15E-01	1.01E+00	0	0.270138	0									
ADGRG6	ENSG00000112414	chr6	7.07E-01	1.11E+00	0	0.415335	0									
ADGRG7	ENSG00000144820	chr3	1.11E+00	1.16E-01	0	0	0									
ADGRL1	ENSG00000072071	chr19	2.81E-01	5.05E+00	0	0.171529	0									
ADGRL2	ENSG00000117114	chr1	3.59E-01	2.63E+00	0	0.781986	0									
ADGRL3	ENSG00000150471	chr4	4.99E-01	2.16E+00	0	0.652399	0									
ADGRL4	ENSG00000162618	chr1	1.43E+00	-9.97E-01	0	0	0									
ADGRV1	ENSG00000164199	chr5	6.57E-01	1.48E+00	0	0.345114	0									
ADH1A	ENSG00000187758	chr4	1.12E+00	-8.56E-02	0	0	0									
ADH1B	ENSG00000196616	chr4	1.14E+00	8.75E-01	0	0	0									
ADH1C	ENSG00000248144	chr4	1.03E+00	1.04E+00	0	0	0									
ADH4	ENSG00000198099	chr4	1.19E+00	-3.52E-01	0	0	0									
ADH5	ENSG00000197894	chr4	1.07E+00	2.14E+00	0	0	0									
ADH6	ENSG00000172955	chr4	1.24E+00	1.41E-01	0	0	0									
ADH7	ENSG00000196344	chr4	1.55E+00	-1.56E+00	0	0	0									
ADHFE1	ENSG00000147576	chr8	8.89E-01	-1.72E-01	0	0	0									
ADI1	ENSG00000182551	chr2	1.62E+00	2.64E-01	0	0	0									
ADIG	ENSG00000182035	chr20	1.82E+00	9.09E-01	0	0	0									
ADIPOQ	ENSG00000181092	chr3	1.73E+00	-3.57E-01	0	0	0									
ADIPOR1	ENSG00000159346	chr1	6.16E-01	3.75E+00	0	0	0									
ADIPOR2	ENSG00000006831	chr12	6.52E-01	3.82E+00	0	0.056804	0									
ADIRF	ENSG00000148671	chr10	2.01E+00	-3.41E-01	0	0	0									
ADK	ENSG00000156110	chr10	7.56E-01	2.15E+00	0	0	0									
ADM	ENSG00000148926	chr11	1.02E+00	2.92E-02	0	0.373883	0									
ADM2	ENSG00000128165	chr22	1.49E+00	-7.27E-01	0	0	0									
ADM5	ENSG00000224420	chr19	1.65E+00	3.93E-01	0	0.040648	0									
ADNP	ENSG00000101126	chr20	1.08E-01	2.27E+00	0	0.03727	0									
ADNP2	ENSG00000101544	chr18	8.83E-01	-2.22E-02	0	0.42102	0									
ADO	ENSG00000181915	chr10	9.47E-01	6.60E-01	0	0.796414	0									
ADORA1	ENSG00000163485	chr1	5.95E-01	2.79E+00	0	0.160589	0									
ADORA2A	ENSG00000128271	chr22	9.88E-01	1.94E+00	0	0	0									
ADORA2B	ENSG00000170425	chr17	1.29E+00	-3.80E-01	0	0.179865	0									
ADORA3	ENSG00000282608	chr1	1.36E+00	9.95E-01	0	0.030399	0									
ADPGK	ENSG00000159322	chr15	8.51E-01	9.53E-01	0	0	0									
ADPRH	ENSG00000144843	chr3	1.29E+00	5.21E-01	0	0.151911	0									
ADPRHL1	ENSG00000153531	chr13	1.26E+00	4.05E+00	0	0	0									
ADPRM	ENSG00000170222	chr17	9.39E-01	1.59E+00	0	0.043856	0									
ADPRS	ENSG00000116863	chr1	1.09E+00	-2.65E-02	0	0	0									
ADRA1A	ENSG00000120907	chr8	1.41E+00	-3.12E-01	0	0.494833	0									
ADRA1B	ENSG00000170214	chr5	1.42E+00	6.52E-01	0	0.069061	0									
ADRA1D	ENSG00000171873	chr20	1.69E+00	1.09E-02	0	0	0									
ADRA2A	ENSG00000150594	chr10	2.00E+00	6.99E-01	0	0.303508	0									
ADRA2B	ENSG00000274286	chr2	1.52E+00	-4.83E-02	0	0	0									
ADRA2C	ENSG00000184160	chr4	1.16E+00	1.45E+00	0	0.559254	0									
ADRB1	ENSG00000043591	chr10	NA	1.19E+00	0	0	0									
ADRB2	ENSG00000169252	chr5	9.08E-01	1.90E+00	0	0	0									
ADRB3	ENSG00000188778	chr8	1.85E+00	-3.62E-01	0	0	0									
ADRM1	ENSG00000130706	chr20	1.57E-01	1.55E+00	0	0	0									
ADSL	ENSG00000239900	chr22	9.10E-01	1.64E+00	0	0.173092	0									
ADSS1	ENSG00000185100	chr14	1.20E+00	1.26E-01	0	0.353263	0									
ADSS2	ENSG00000035687	chr1	6.78E-01	3.29E+00	0	0	0									
ADTRP	ENSG00000111863	chr6	1.08E+00	6.18E-01	0	0	0									
AEBP1	ENSG00000106624	chr7	7.24E-01	1.23E+00	0	0	0									
AEBP2	ENSG00000139154	chr12	3.34E-01	1.92E+00	0	0.483815	0									
AEN	ENSG00000181026	chr15	1.71E+00	-5.32E-01	0	0.406317	0									
AFAP1	ENSG00000196526	chr4	9.68E-01	-1.98E+00	0	0.533961	0									
AFAP1L1	ENSG00000157510	chr5	9.33E-01	1.40E+00	0	0.038599	0									
AFAP1L2	ENSG00000169129	chr10	5.92E-01	1.01E+00	0	0.493415	0									
AFDN	ENSG00000130396	chr6	3.84E-01	1.82E+00	0	0.418401	0									
AFF1	ENSG00000172493	chr4	5.02E-01	-1.24E-01	0	0.712624	0									
AFF2	ENSG00000155966	chrX	2.84E-01	1.79E+00	0	0	0									
AFF3	ENSG00000144218	chr2	3.31E-01	2.34E+00	0	0.783313	0									
AFF4	ENSG00000072364	chr5	1.66E-01	3.55E+00	0	0	0									
AFG1L	ENSG00000135537	chr6	1.07E+00	6.23E-01	0	0.341628	0									
AFG3L2	ENSG00000141385	chr18	7.17E-01	3.26E+00	0	0	0									
AFM	ENSG00000079557	chr4	1.43E+00	-1.13E+00	0	0.04294	0									
AFMID	ENSG00000183077	chr17	1.07E+00	2.71E-01	0	0	0									
AFP	ENSG00000081051	chr4	9.98E-01	2.38E-01	0	0.057906	0									
AFTPH	ENSG00000119844	chr2	1.81E-01	1.07E+00	0	0	0									
AGA	ENSG00000038002	chr4	1.04E+00	-1.97E-01	0	0.032164	0									
AGAP1	ENSG00000157985	chr2	3.75E-01	2.09E+00	0	0	0									
AGAP2	ENSG00000135439	chr12	3.88E-01	3.72E+00	0	0.034992	0									
AGAP3	ENSG00000133612	chr7	3.48E-01	4.55E+00	0	0	0									
AGAP4	ENSG00000188234	chr10	3.40E-01	1.03E+01	0	0	0									
AGAP5	ENSG00000172650	chr10	5.20E-01	8.56E+00	0	0	0									
AGAP6	ENSG00000204149	chr10	6.19E-01	5.62E+00	0	0	0									
AGAP9	ENSG00000204172	chr10	5.86E-01	7.49E+00	0	0	0									
AGBL1	ENSG00000273540	chr15	1.26E+00	-3.38E+00	0	0.695859	0									
AGBL2	ENSG00000165923	chr11	1.01E+00	1.59E+00	0	0	0									
AGBL3	ENSG00000146856	chr7	8.80E-01	2.18E+00	0	0.041539	0									
AGBL4	ENSG00000186094	chr1	1.09E+00	8.83E-01	0	0.435202	0									
AGBL5	ENSG00000084693	chr2	7.32E-01	1.64E+00	0	0	0									
AGER	ENSG00000204305	chr6	1.20E+00	4.88E-01	0	0	0									
AGFG1	ENSG00000173744	chr2	2.80E-01	2.29E+00	0	0.065882	0									
AGFG2	ENSG00000106351	chr7	8.72E-01	5.70E-01	0	0	0									
AGGF1	ENSG00000164252	chr5	8.09E-01	5.10E-01	0	0	0									
AGK	ENSG00000006530	chr7	9.87E-01	1.05E+00	0	0.571074	0									
AGL	ENSG00000162688	chr1	7.44E-01	1.18E-01	0	0	0									
AGMAT	ENSG00000116771	chr1	1.66E+00	-4.40E-03	0	0	0									
AGMO	ENSG00000187546	chr7	1.51E+00	-4.42E+00	0	0.511342	0									
AGO1	ENSG00000092847	chr1	1.67E-01	7.15E+00	0	0.554645	0									
AGO2	ENSG00000123908	chr8	1.03E-01	7.97E+00	0	0.735458	0									
AGO3	ENSG00000126070	chr1	2.30E-01	7.16E+00	0	0	0									
AGO4	ENSG00000134698	chr1	4.21E-01	4.83E+00	0	0	0									
AGPAT1	ENSG00000204310	chr6	3.80E-01	4.19E+00	0	0	0									
AGPAT2	ENSG00000169692	chr9	1.02E+00	-4.30E-01	0	0.21591	0									
AGPAT3	ENSG00000160216	chr21	2.22E-01	3.42E+00	0	0.341918	0									
AGPAT4	ENSG00000026652	chr6	4.81E-01	3.27E+00	0	0.676303	0									
AGPAT5	ENSG00000155189	chr8	1.29E+00	-4.47E+00	0	0.380061	0									
AGPS	ENSG00000018510	chr2	3.98E-01	4.12E+00	0	0	0									
AGR2	ENSG00000106541	chr7	1.44E+00	5.69E-01	0	0.055079	0									
AGR3	ENSG00000173467	chr7	1.99E+00	-1.14E+00	0	0.058715	0									
AGRN	ENSG00000188157	chr1	5.90E-01	-4.49E-01	0	0	0									
AGRP	ENSG00000159723	chr16	1.06E+00	6.37E-01	0	0	0									
AGT	ENSG00000135744	chr1	1.28E+00	-6.49E-02	0	0	0									
AGTPBP1	ENSG00000135049	chr9	5.94E-01	2.62E+00	0	0.618842	0									
AGTR1	ENSG00000144891	chr3	1.25E+00	1.21E+00	0	0	0									
AGTR2	ENSG00000180772	chrX	1.62E+00	-2.23E-02	0	0	0									
AGTRAP	ENSG00000177674	chr1	8.66E-01	7.71E-01	0	0	0									
AGXT	ENSG00000172482	chr2	1.14E+00	-4.33E-02	0	0	0									
AGXT2	ENSG00000113492	chr5	1.21E+00	-4.12E-01	0	0	0									
AHCTF1	ENSG00000153207	chr1	1.36E-01	3.57E+00	0	0	0									
AHCY	ENSG00000101444	chr20	7.44E-01	2.54E+00	0	0	0									
AHCYL1	ENSG00000168710	chr1	3.66E-01	5.65E+00	0	0	0									
AHCYL2	ENSG00000158467	chr7	4.71E-01	3.56E+00	0	0	0									
AHDC1	ENSG00000126705	chr1	1.50E-01	3.70E+00	0	0	0									
AHI1	ENSG00000135541	chr6	9.57E-01	-1.85E-01	0	0.76342	0									
AHNAK	ENSG00000124942	chr11	8.62E-01	-4.57E-01	0	0	0									
AHNAK2	ENSG00000185567	chr14	8.71E-01	-6.11E+00	0	0.63518	0									
AHR	ENSG00000106546	chr7	6.00E-01	1.42E-01	0	0.52066	0									
AHRR	ENSG00000063438	chr5	8.72E-01	-4.99E-01	0	0	0									
AHSA1	ENSG00000100591	chr14	4.75E-01	1.73E+00	0	0	0									
AHSG	ENSG00000145192	chr3	1.08E+00	-1.88E-01	0	0	0									
AHSP	ENSG00000169877	chr16	3.92E+00	-5.55E-01	0	0.054945	0									
AICDA	ENSG00000111732	chr12	1.19E+00	1.01E+00	1	0	0									
AIDA	ENSG00000186063	chr1	6.26E-01	2.36E+00	0	0.048276	0									
AIF1	ENSG00000204472	chr6	1.47E+00	3.11E-01	0	0	0									
AIF1L	ENSG00000126878	chr9	9.38E-01	3.86E-01	0	0	0									
AIFM1	ENSG00000156709	chrX	1.50E-01	2.87E+00	0	0	0									
AIFM2	ENSG00000042286	chr10	1.39E+00	2.92E-01	0	0	0									
AIFM3	ENSG00000183773	chr22	1.05E+00	1.03E+00	0	0	0									
AIG1	ENSG00000146416	chr6	1.04E+00	5.22E-01	0	0.282261	0									
AIM2	ENSG00000163568	chr1	1.47E+00	1.12E+00	0	0.492904	0									
AIMP1	ENSG00000164022	chr4	1.02E+00	-4.86E-02	0	0.178943	0									
AIMP2	ENSG00000106305	chr7	1.24E+00	-2.10E+00	0	0	0									
AIP	ENSG00000110711	chr11	6.42E-01	1.19E+00	0	0	0									
AIPL1	ENSG00000129221	chr17	9.91E-01	3.99E-01	0	0	0									
AIRE	ENSG00000160224	chr21	1.06E+00	-2.82E-01	1	0.78737	0.759913									
AJAP1	ENSG00000196581	chr1	3.01E-01	-2.69E-01	0	0.470714	0									
AJM1	ENSG00000232434	chr9	7.31E-01	4.46E-01	0	0	0									
AJUBA	ENSG00000129474	chr14	5.45E-01	2.38E+00	0	0	0									
AK1	ENSG00000106992	chr9	8.64E-01	1.10E+00	0	0.31049	0									
AK2	ENSG00000004455	chr1	9.41E-01	1.15E+00	1	0.043169	0									
AK3	ENSG00000147853	chr9	1.57E+00	-3.04E+00	0	0.060292	0									
AK4	ENSG00000162433	chr1	8.42E-01	2.42E+00	0	0.397045	0									
AK4P3	ENSG00000233381	chr12	NA	5.01E+00	0	0	0									
AK5	ENSG00000154027	chr1	5.36E-01	2.73E+00	0	0	0									
AK6	ENSG00000085231	chr5	1.43E+00	2.44E-01	0	0	0									
AK7	ENSG00000140057	chr14	9.74E-01	4.71E-01	0	0.330364	0									
AK8	ENSG00000165695	chr9	1.04E+00	1.01E+00	0	0.131144	0									
AK9	ENSG00000155085	chr6	8.99E-01	1.99E+00	0	0.393594	0									
AKAIN1	ENSG00000231824	chr18	2.12E+00	3.38E-02	0	0.165449	0									
AKAP1	ENSG00000121057	chr17	5.39E-01	2.25E+00	0	0	0									
AKAP10	ENSG00000108599	chr17	4.18E-01	2.03E+00	0	0	0									
AKAP11	ENSG00000023516	chr13	3.25E-01	-3.67E-02	0	0.684636	0									
AKAP12	ENSG00000131016	chr6	5.38E-01	9.42E-01	0	0.055148	0									
AKAP13	ENSG00000170776	chr15	3.64E-01	-2.01E+00	0	0.340132	0									
AKAP14	ENSG00000186471	chrX	5.37E-01	7.60E-01	0	0	0									
AKAP17A	ENSG00000197976	chrX	4.43E-01	-7.13E-01	0	0	0									
AKAP3	ENSG00000111254	chr12	6.51E-01	1.07E+00	0	0	0									
AKAP4	ENSG00000147081	chrX	2.15E-01	1.35E+00	0	0	0									
AKAP5	ENSG00000179841	chr14	7.64E-01	1.52E+00	0	0	0									
AKAP6	ENSG00000151320	chr14	3.83E-01	2.44E-01	0	0.464979	0									
AKAP7	ENSG00000118507	chr6	1.29E+00	-1.32E-01	0	0	0									
AKAP8	ENSG00000105127	chr19	5.00E-01	-2.08E-01	0	0	0									
AKAP8L	ENSG00000011243	chr19	5.84E-01	1.17E+00	0	0	0									
AKAP9	ENSG00000127914	chr7	6.99E-01	1.03E+00	0	0.505124	0									
AKIP1	ENSG00000166452	chr11	1.19E+00	-5.87E-01	0	0	0									
AKIRIN1	ENSG00000174574	chr1	3.53E-01	6.05E-01	0	0	0									
AKIRIN2	ENSG00000135334	chr6	4.04E-01	1.70E+00	0	0	0									
AKNA	ENSG00000106948	chr9	5.92E-01	6.63E-01	0	0	0									
AKNAD1	ENSG00000162641	chr1	9.04E-01	2.51E-01	0	0	0									
AKR1A1	ENSG00000117448	chr1	9.21E-01	6.04E-01	0	0	0									
AKR1B1	ENSG00000085662	chr7	7.78E-01	8.50E-01	0	0.030562	0									
AKR1B10	ENSG00000198074	chr7	1.31E+00	4.71E-01	0	0.406317	0									
AKR1B15	ENSG00000227471	chr7	1.62E+00	-6.42E-01	0	0	0									
AKR1C1	ENSG00000187134	chr10	1.06E+00	9.73E-01	0	0	0									
AKR1C2	ENSG00000151632	chr10	9.35E-01	2.28E+00	0	0	0									
AKR1C3	ENSG00000196139	chr10	1.40E+00	-1.96E+00	0	0	0									
AKR1C4	ENSG00000198610	chr10	1.38E+00	-1.09E+00	0	0	0									
AKR1C8	ENSG00000264006	chr10	3.45E+00	-8.22E+00	0	0	0									
AKR1D1	ENSG00000122787	chr7	1.01E+00	8.12E-01	0	0	0									
AKR1E2	ENSG00000165568	chr10	1.32E+00	-5.69E-01	0	0.379271	0									
AKR7A2	ENSG00000053371	chr1	1.06E+00	-5.94E-01	0	0	0									
AKR7A3	ENSG00000162482	chr1	1.50E+00	8.26E-01	0	0	0									
AKR7L	ENSG00000211454	chr1	NA	1.32E+00	0	0	0									
AKT1	ENSG00000142208	chr14	4.79E-01	4.69E+00	0	0.05062	0									
AKT1S1	ENSG00000204673	chr19	1.20E+00	5.16E-02	0	0	0									
AKT2	ENSG00000105221	chr19	4.15E-01	3.70E+00	0	0.254173	0									
AKT3	ENSG00000117020	chr1	3.54E-01	5.92E+00	0	0.464979	0									
AKTIP	ENSG00000166971	chr16	6.21E-01	2.14E+00	0	0.033604	0									
ALAD	ENSG00000148218	chr9	6.54E-01	2.48E+00	0	0	0									
ALAS1	ENSG00000023330	chr3	6.64E-01	1.76E+00	0	0.294963	0									
ALAS2	ENSG00000158578	chrX	2.30E-01	3.35E+00	0	0	0									
ALB	ENSG00000163631	chr4	6.53E-01	5.36E-01	0	0.381959	0									
ALCAM	ENSG00000170017	chr3	5.74E-01	1.68E+00	0	0.357198	0									
ALDH16A1	ENSG00000161618	chr19	1.09E+00	-1.76E+00	0	0	0									
ALDH18A1	ENSG00000059573	chr10	6.37E-01	3.05E+00	0	0	0									
ALDH1A1	ENSG00000165092	chr9	4.49E-01	1.49E+00	0	0.514807	0									
ALDH1A2	ENSG00000128918	chr15	6.18E-01	1.06E+00	0	0	0									
ALDH1A3	ENSG00000184254	chr15	6.67E-01	2.68E+00	0	0.251583	0									
ALDH1B1	ENSG00000137124	chr9	1.06E+00	1.97E-01	0	0.045039	0									
ALDH1L1	ENSG00000144908	chr3	8.23E-01	1.07E+00	0	0.353274	0									
ALDH1L2	ENSG00000136010	chr12	9.75E-01	1.67E+00	0	0	0									
ALDH2	ENSG00000111275	chr12	9.49E-01	2.04E+00	0	0.422438	0									
ALDH3A1	ENSG00000108602	chr17	1.18E+00	3.41E-01	0	0	0									
ALDH3A2	ENSG00000072210	chr17	9.26E-01	8.88E-01	0	0.240695	0									
ALDH3B1	ENSG00000006534	chr11	1.05E+00	1.03E+00	0	0	0									
ALDH3B2	ENSG00000132746	chr11	1.57E+00	9.28E-01	0	0	0									
ALDH4A1	ENSG00000159423	chr1	8.34E-01	2.70E-01	0	0	0									
ALDH5A1	ENSG00000112294	chr6	8.07E-01	8.64E-01	0	0.047602	0									
ALDH6A1	ENSG00000119711	chr14	8.85E-01	1.83E+00	0	0	0									
ALDH7A1	ENSG00000164904	chr5	9.73E-01	6.32E-01	0	0.044068	0									
ALDH8A1	ENSG00000118514	chr6	1.18E+00	3.02E-01	0	0.19488	0									
ALDH9A1	ENSG00000143149	chr1	9.60E-01	-1.58E-01	0	0	0									
ALDOA	ENSG00000149925	chr16	8.22E-01	9.37E-01	0	0	0									
ALDOB	ENSG00000136872	chr9	1.24E+00	-1.45E+00	0	0	0									
ALDOC	ENSG00000109107	chr17	8.25E-01	2.40E+00	0	0.044226	0									
ALG1	ENSG00000033011	chr16	1.31E+00	-2.83E+00	0	0.147329	0									
ALG10	ENSG00000139133	chr12	8.91E-01	1.11E+00	0	0.495907	0									
ALG10B	ENSG00000175548	chr12	9.61E-01	3.79E-01	0	0.520354	0									
ALG11	ENSG00000253710	chr13	9.29E-01	7.77E-01	0	0	0									
ALG12	ENSG00000182858	chr22	1.03E+00	5.85E-01	0	0.03314	0									
ALG13	ENSG00000101901	chrX	2.07E-01	1.60E+00	0	0	0									
ALG14	ENSG00000172339	chr1	1.12E+00	-4.20E-01	0	0.033594	0									
ALG1L2	ENSG00000251287	chr3	1.48E+00	-1.13E+00	0	0	0									
ALG2	ENSG00000119523	chr9	1.41E+00	-8.84E-01	0	0.086959	0									
ALG3	ENSG00000214160	chr3	1.01E+00	6.30E-01	0	0	0									
ALG5	ENSG00000120697	chr13	6.96E-01	1.88E+00	0	0.030733	0									
ALG6	ENSG00000088035	chr1	8.83E-01	1.44E+00	0	0	0									
ALG8	ENSG00000159063	chr11	8.69E-01	6.35E-01	0	0	0									
ALG9	ENSG00000086848	chr11	8.42E-01	1.81E+00	0	0	0									
ALK	ENSG00000171094	chr2	5.50E-01	3.93E-01	0	0.705568	0									
ALKAL1	ENSG00000196711	chr8	2.41E+00	-8.15E-02	0	0	0									
ALKAL2	ENSG00000189292	chr2	7.80E-01	-8.76E-01	0	0.455888	0									
ALKBH1	ENSG00000100601	chr14	1.14E+00	1.40E-01	0	0	0									
ALKBH2	ENSG00000189046	chr12	1.42E+00	4.35E-01	0	0.033442	0									
ALKBH3	ENSG00000166199	chr11	1.47E+00	-2.06E-01	0	0	0									
ALKBH4	ENSG00000160993	chr7	1.19E+00	5.63E-01	0	0	0									
ALKBH5	ENSG00000091542	chr17	1.96E-01	3.74E+00	0	0	0									
ALKBH6	ENSG00000239382	chr19	1.16E+00	1.50E+00	0	0	0									
ALKBH7	ENSG00000125652	chr19	1.56E+00	-1.03E+00	0	0	0									
ALKBH8	ENSG00000137760	chr11	7.95E-01	4.97E-01	0	0	0									
ALLC	ENSG00000151360	chr2	1.16E+00	9.89E-02	0	0.046836	0									
ALMS1	ENSG00000116127	chr2	8.51E-01	-3.51E+00	0	0.120449	0									
ALOX12	ENSG00000108839	chr17	8.96E-01	1.54E+00	0	0	0									
ALOX12B	ENSG00000179477	chr17	7.60E-01	1.65E+00	0	0	0									
ALOX15	ENSG00000161905	chr17	1.16E+00	3.10E-01	0	0.668057	0									
ALOX15B	ENSG00000179593	chr17	1.22E+00	-5.24E-01	0	0	0									
ALOX5	ENSG00000012779	chr10	8.97E-01	1.21E+00	0	0	0									
ALOX5AP	ENSG00000132965	chr13	8.47E-01	9.14E-01	0	0.651496	0									
ALOXE3	ENSG00000179148	chr17	1.08E+00	-4.74E-01	0	0	0									
ALPG	ENSG00000163286	chr2	8.84E-01	2.95E+00	0	0.131881	0									
ALPI	ENSG00000163295	chr2	1.23E+00	4.82E-01	1	0.047319	0									
ALPK1	ENSG00000073331	chr4	1.07E+00	-1.56E-01	1	0.063847	0									
ALPK2	ENSG00000198796	chr18	9.02E-01	1.92E+00	0	0.470677	0									
ALPK3	ENSG00000136383	chr15	8.59E-01	-4.16E-01	0	0.328693	0									
ALPL	ENSG00000162551	chr1	1.06E+00	1.93E+00	0	0.03149	0									
ALPP	ENSG00000163283	chr2	1.00E+00	3.07E+00	0	0	0									
ALS2	ENSG00000003393	chr2	6.71E-01	2.62E+00	0	0	0									
ALS2CL	ENSG00000178038	chr3	1.02E+00	7.61E-01	0	0	0									
ALX1	ENSG00000180318	chr12	8.79E-01	-1.51E-01	0	0.099649	0									
ALX3	ENSG00000156150	chr1	9.68E-01	1.09E-01	0	0	0									
ALX4	ENSG00000052850	chr11	7.74E-01	1.59E-01	0	0	0									
ALYREF	ENSG00000183684	chr17	1.88E-01	1.05E+00	0	0	0									
AMACR	ENSG00000242110	chr5	1.20E+00	-1.61E-01	0	0	0									
AMBN	ENSG00000178522	chr4	1.41E+00	-4.32E-01	0	0	0.167209									
AMBP	ENSG00000106927	chr9	1.05E+00	-2.75E-01	0	0	0									
AMBRA1	ENSG00000110497	chr11	4.78E-01	3.76E+00	0	0.091474	0									
AMD1	ENSG00000123505	chr6	4.53E-01	3.23E+00	0	0.352808	0									
AMDHD1	ENSG00000139344	chr12	1.31E+00	-6.15E-01	0	0	0									
AMDHD2	ENSG00000162066	chr16	8.07E-01	8.52E-01	0	0	0									
AMELX	ENSG00000125363	chrX	9.93E-01	1.68E+00	0	0.27751	0									
AMELY	ENSG00000099721	chrY	2.19E+00	6.30E-01	0	0	0									
AMER1	ENSG00000184675	chrX	4.58E-01	-8.91E-01	0	0	0									
AMER2	ENSG00000165566	chr13	9.99E-01	-2.89E-01	0	0	0									
AMER3	ENSG00000178171	chr2	NA	-7.78E-01	0	0	0									
AMFR	ENSG00000159461	chr16	6.27E-01	2.21E+00	0	0	0									
AMH	ENSG00000104899	chr19	1.53E+00	-3.30E+00	0	0	0									
AMHR2	ENSG00000135409	chr12	7.75E-01	1.22E+00	0	0	0									
AMIGO1	ENSG00000181754	chr1	NA	4.33E+00	0	0	0									
AMIGO2	ENSG00000139211	chr12	9.76E-01	1.22E+00	0	0	0									
AMIGO3	ENSG00000176020	chr3	2.75E+00	-1.28E+00	0	0	0									
AMMECR1	ENSG00000101935	chrX	3.45E-01	1.12E+00	0	0	0									
AMMECR1L	ENSG00000144233	chr2	2.49E-01	3.45E+00	0	0	0									
AMN	ENSG00000166126	chr14	1.06E+00	-6.33E-01	0	0.071169	0									
AMN1	ENSG00000151743	chr12	8.79E-01	1.49E+00	0	0	0									
AMOT	ENSG00000126016	chrX	2.72E-01	1.45E+00	0	0	0									
AMOTL1	ENSG00000166025	chr11	5.61E-01	1.36E+00	0	0	0									
AMOTL2	ENSG00000114019	chr3	5.63E-01	6.25E-01	0	0.117059	0									
AMPD1	ENSG00000116748	chr1	1.08E+00	6.10E-01	0	0	0									
AMPD2	ENSG00000116337	chr1	7.17E-01	3.82E+00	0	0	0									
AMPD3	ENSG00000133805	chr11	8.63E-01	1.80E+00	0	0.060569	0									
AMPH	ENSG00000078053	chr7	6.27E-01	1.52E+00	0	0.484188	0									
AMT	ENSG00000145020	chr3	8.55E-01	6.62E-01	0	0.336324	0									
AMTN	ENSG00000187689	chr4	1.44E+00	4.80E-02	0	0	0									
AMY1A	ENSG00000237763	chr1	5.72E-01	3.91E+00	0	0.062132	0									
AMY1B	ENSG00000174876	chr1	8.56E-01	2.76E+00	0	0.133248	0									
AMY1C	ENSG00000187733	chr1	5.81E-01	3.97E+00	0	0.280527	0									
AMY2A	ENSG00000243480	chr1	5.65E-01	4.89E+00	0	0.050518	0									
AMY2B	ENSG00000240038	chr1	1.31E+00	-1.41E-01	0	0.043646	0									
AMZ1	ENSG00000174945	chr7	1.70E+00	-5.89E+00	0	0.623476	0									
AMZ2	ENSG00000196704	chr17	9.83E-01	7.51E-01	0	0	0									
ANAPC1	ENSG00000153107	chr2	2.29E-01	1.02E+01	0	0.392006	0									
ANAPC10	ENSG00000164162	chr4	8.84E-01	9.44E-01	0	0	0									
ANAPC11	ENSG00000141552	chr17	8.88E-01	1.80E+00	0	0	0									
ANAPC13	ENSG00000129055	chr3	1.64E+00	4.78E-01	0	0	0									
ANAPC15	ENSG00000110200	chr11	1.04E+00	2.17E+00	0	0	0									
ANAPC16	ENSG00000166295	chr10	9.01E-01	6.74E-01	0	0	0									
ANAPC2	ENSG00000176248	chr9	4.69E-01	3.48E+00	0	0	0									
ANAPC4	ENSG00000053900	chr4	6.48E-01	3.18E+00	0	0	0									
ANAPC5	ENSG00000089053	chr12	8.15E-01	3.37E+00	0	0	0									
ANAPC7	ENSG00000196510	chr12	5.51E-01	2.85E+00	0	0	0									
ANG	ENSG00000214274	chr14	NA	2.92E-01	0	0	0									
ANGEL1	ENSG00000013523	chr14	1.00E+00	1.47E+00	0	0.036132	0									
ANGEL2	ENSG00000174606	chr1	8.06E-01	1.36E+00	0	0.131963	0									
ANGPT1	ENSG00000154188	chr8	4.10E-01	2.04E+00	0	0.675237	0									
ANGPT2	ENSG00000091879	chr8	6.10E-01	-2.31E+00	0	0.549809	0									
ANGPT4	ENSG00000101280	chr20	1.20E+00	-1.83E-01	0	0.471698	0									
ANGPTL1	ENSG00000116194	chr1	1.02E+00	4.14E-01	0	0.037745	0									
ANGPTL2	ENSG00000136859	chr9	6.61E-01	1.84E+00	0	0	0									
ANGPTL3	ENSG00000132855	chr1	1.22E+00	2.74E-01	0	0.067421	0									
ANGPTL4	ENSG00000167772	chr19	1.30E+00	8.71E-02	0	0	0									
ANGPTL5	ENSG00000187151	chr11	1.15E+00	-1.89E-01	0	0	0									
ANGPTL6	ENSG00000130812	chr19	1.22E+00	-4.71E-01	0	0.152172	0									
ANGPTL7	ENSG00000171819	chr1	1.25E+00	2.35E-01	0	0	0									
ANGPTL8	ENSG00000130173	chr19	1.49E+00	7.85E-01	0	0	0									
ANHX	ENSG00000227059	chr12	7.48E-01	3.49E-01	0	0	0									
